video_id,video_title,published_date,published_time,video_link
0lRyVSDrY4s,De manucure à développeuse web,2022-06-08,14:59:34,https://www.youtube.com/watch?v=0lRyVSDrY4s
jBjBEkUZIdY,Machine learning concepts and no code examples - Ironhack Tech School,2022-06-06,10:49:55,https://www.youtube.com/watch?v=jBjBEkUZIdY
sRT9CJvCY54,Intro to Data Storytelling and Data Visualization with Tableau - Ironhack Tech School,2022-06-06,10:43:40,https://www.youtube.com/watch?v=sRT9CJvCY54
6HO_NI6k7vI,Intro to web scraping : extracting data from Twitch - Ironhack Tech School,2022-06-06,10:27:38,https://www.youtube.com/watch?v=6HO_NI6k7vI
gBqfnOV-CIg,Introduction to Decision Trees - Machine Learning 101 | Ironhack Tech School,2022-06-06,10:25:08,https://www.youtube.com/watch?v=gBqfnOV-CIg
bXPrHLK2yXI,Python for Office: Automating Company Tasks,2022-06-06,10:15:26,https://www.youtube.com/watch?v=bXPrHLK2yXI
au6AHTk7qzQ,Data Analytics 101: Python Programming Basics - Ironhack Tech School,2022-06-06,10:07:37,https://www.youtube.com/watch?v=au6AHTk7qzQ
TdY_Re6eptQ,UX design at TomTom: user centered design in an agile company - Ironhack Tech School,2022-06-06,09:53:30,https://www.youtube.com/watch?v=TdY_Re6eptQ
GJVbYLUF2QQ,Conversational UX Design: How to Design for Errors - Ironhack Tech School,2022-06-06,09:43:35,https://www.youtube.com/watch?v=GJVbYLUF2QQ
d54kz0JO-Kc,Human-centered Design: Beyond Humans - Ironhack Tech School,2022-06-06,09:44:30,https://www.youtube.com/watch?v=d54kz0JO-Kc
y_mLBYF3xBY,Build user-friendly apps: user flows &amp; wireframes - Ironhack Tech School,2022-06-06,09:28:34,https://www.youtube.com/watch?v=y_mLBYF3xBY
Q5QKljfeABA,Conversational UX Design Webinar: Build your Own Chatbot - Ironhack Tech School,2022-06-06,09:28:48,https://www.youtube.com/watch?v=Q5QKljfeABA
l3wJt0i6Zsc,Build and Prototype an App using Figma - Ironhack Tech School,2022-06-06,09:17:57,https://www.youtube.com/watch?v=l3wJt0i6Zsc
cLlCg9s4OCY,Intro to UX : Customer Journey Mapping - Ironhack Tech School,2022-06-06,09:00:44,https://www.youtube.com/watch?v=cLlCg9s4OCY
kErzoIFSUE0,Looking at the Future — what designers need to know | Ironhack Tech School,2022-06-06,08:48:38,https://www.youtube.com/watch?v=kErzoIFSUE0
RTwzxIVhthI,An Introduction To The Design Thinking Process - Ironhack Tech School,2022-06-06,08:43:49,https://www.youtube.com/watch?v=RTwzxIVhthI
xoqeBwMMVaQ,UI Design crash course with Figma - Ironhack Tech School,2022-05-25,17:13:45,https://www.youtube.com/watch?v=xoqeBwMMVaQ
47GcI9BgZ4c,¡Conoce nuestro servicio de carreras! - Ironhack tech School,2022-05-25,13:16:12,https://www.youtube.com/watch?v=47GcI9BgZ4c
ugNVoNGAAh8,How to Start with Code and Get Hired - Ironhack Tech School,2022-05-24,19:12:46,https://www.youtube.com/watch?v=ugNVoNGAAh8
S8K3tYu_hII,Ironhack Ed Tech Cofounder Predicts the Future of Education,2022-04-28,20:31:05,https://www.youtube.com/watch?v=S8K3tYu_hII
ZW1XScOjcgQ,Partnerships Manager Berlin,2022-04-28,17:20:28,https://www.youtube.com/watch?v=ZW1XScOjcgQ
0zlxp_s8vFk,Coding 101: how to write clean code - Ironhack Tech School,2022-04-28,16:47:17,https://www.youtube.com/watch?v=0zlxp_s8vFk
iqMgAdS4V0M,Build a Budgeting App with Javascript - Ironhack Tech School,2022-04-28,16:47:07,https://www.youtube.com/watch?v=iqMgAdS4V0M
jUK0K0z4wKI,Coding for remote entrepreneurs: build your business landing page - Ironhack Tech School,2022-04-28,14:12:48,https://www.youtube.com/watch?v=jUK0K0z4wKI
h7kYRZqzAl8,Build your own Cluedo game with JavaScript - Ironhack Tech School,2022-04-28,13:50:33,https://www.youtube.com/watch?v=h7kYRZqzAl8
R8i2o-O10yI,Intro to Blockchain - Let&#39;s cover (and code) the basis - Ironhack Tech School,2022-04-28,13:40:14,https://www.youtube.com/watch?v=R8i2o-O10yI
O9tog2ahXvc,"Web Development in a remote environment : Intro to Git, with JS, HTML &amp; CSS - Ironhack Tech School",2022-04-28,13:28:43,https://www.youtube.com/watch?v=O9tog2ahXvc
Z6VGDEqPdm0,Build a website in 60 minutes with HTML&amp;CSS - Ironhack Tech School,2022-04-28,13:18:07,https://www.youtube.com/watch?v=Z6VGDEqPdm0
wNKkNDPYOjY,Build an e-commerce with JavaScript - Ironhack Tech School,2022-04-28,12:36:08,https://www.youtube.com/watch?v=wNKkNDPYOjY
yIBpyfJevro,Build a Spotify with JavaScript - Ironhack Tech School,2022-04-28,12:31:49,https://www.youtube.com/watch?v=yIBpyfJevro
zzxG2o9Hk7s,What is Data Analytics? | Ironhack Barcelona,2022-04-19,14:28:15,https://www.youtube.com/watch?v=zzxG2o9Hk7s
aUSprTm5gH0,BOOTCAMP REVIEW: From Grocery Store Manager to Senior PHP Developer,2022-03-02,16:03:21,https://www.youtube.com/watch?v=aUSprTm5gH0
RB40D5SvetQ,Defending Networks like a Spartan - Ironhack Tech School,2022-02-15,21:37:17,https://www.youtube.com/watch?v=RB40D5SvetQ
MRnF9cG5xfw,Thinking like a hacker: How hackers bypass anti malware software - Ironhack is a Tech School,2022-02-15,19:01:25,https://www.youtube.com/watch?v=MRnF9cG5xfw
_HYA-zYxNKI,Become the hacker of the future - Ironhack Tech School,2022-02-15,18:22:54,https://www.youtube.com/watch?v=_HYA-zYxNKI
e4rDNzlSnRE,Cybersecurity: Risk Management and Strategy - Ironhack Tech School,2022-02-15,18:03:56,https://www.youtube.com/watch?v=e4rDNzlSnRE
n505HxMFPkw,Cybersecurity 101: Learn the Basics - Ironhack Tech School,2022-02-15,16:53:29,https://www.youtube.com/watch?v=n505HxMFPkw
KkndlQUhzY8,Ironhack - Conoce cómo funcionan los partnerships con empresas,2022-02-08,14:55:49,https://www.youtube.com/watch?v=KkndlQUhzY8
UdSKUE17RiM,Ironhack Barcelona   UX UI Design Part Time,2022-01-18,22:50:08,https://www.youtube.com/watch?v=UdSKUE17RiM
yIq6ODJRQqc,BOOTCAMP REVIEW: Ironhack UI/UX graduate becomes a Senior Designer at PWC,2021-12-08,20:58:03,https://www.youtube.com/watch?v=yIq6ODJRQqc
5DbAZkG7v-Q,BOOTCAMP REVIEW: How Keith left the restaurant industry to start a career in web development,2021-12-06,20:47:01,https://www.youtube.com/watch?v=5DbAZkG7v-Q
PQWrC_11p_A,BOOTCAMP REVIEW: From frustrated Retail Buyer to resourceful UI/UX designer at Disney,2021-12-06,20:46:47,https://www.youtube.com/watch?v=PQWrC_11p_A
Wy0EIV3cALk,Becas Amazon Despega y Ironhack - Noviembre 2021,2021-11-24,11:59:32,https://www.youtube.com/watch?v=Wy0EIV3cALk
8CsuJCt725Q,Ironhack Global Video,2021-11-17,16:04:12,https://www.youtube.com/watch?v=8CsuJCt725Q
HQoudcUg5AM,Ironhack Testimonial: Entrevista Pau Rodríguez - Web Dev,2021-09-13,08:25:36,https://www.youtube.com/watch?v=HQoudcUg5AM
ztgI-ncLQok,Ironhack Enterprise - Inês Pereira en Madrid DES,2021-08-05,08:00:30,https://www.youtube.com/watch?v=ztgI-ncLQok
nG6j1wasLU0,Ironhack - Now is the time!,2021-07-27,15:22:35,https://www.youtube.com/watch?v=nG6j1wasLU0
iWUXsJB23K0,Let&#39;s Write Your Story,2021-02-22,17:07:58,https://www.youtube.com/watch?v=iWUXsJB23K0
d1OUnOmEjAs,Let&#39;s Write Your Story with Ironhack,2021-02-18,17:36:15,https://www.youtube.com/watch?v=d1OUnOmEjAs
XodAVdadsic,Study with Ironhack from anywhere!,2020-10-21,16:27:16,https://www.youtube.com/watch?v=XodAVdadsic
